family,dataset_id,model,selector,feature_count,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
classic,amazon_review_full,random_cnn,dfs,2000,5,0.020100857824475914,0.03396217744942222,4,0,1
classic,amazon_review_full,random_cnn,ig,500,5,0.00615136287498097,0.06517853597795153,3,0,2
classic,amazon_review_full,random_cnn,ig,1000,5,0.03818674178975684,0.026434385139257607,5,0,0
classic,amazon_review_full,random_cnn,ig,1500,5,0.03225739810161919,0.061043678710954945,3,0,2
classic,amazon_review_full,random_cnn,ig,2000,5,0.023130856301710558,0.03981064753761292,4,0,1
classic,amazon_review_full,random_lstm,df,500,5,-0.008035378914775886,0.01529327414503923,2,0,3
classic,amazon_review_full,random_lstm,df,1000,5,-0.020085782447591488,0.02983264222098494,1,0,4
classic,amazon_review_full,random_lstm,df,1500,5,0.029080402010050254,0.03025365397266102,4,1,0
classic,amazon_review_full,random_lstm,df,2000,5,-0.005000253794223636,0.04119425354177399,2,0,3
classic,amazon_review_full,random_lstm,dfs,500,5,0.07526734683518604,0.026432659764071602,5,0,0
classic,amazon_review_full,random_lstm,dfs,1000,5,0.07115110908075732,0.03518506098120777,5,0,0
classic,amazon_review_full,random_lstm,dfs,1500,5,0.026919141160347188,0.05588810796748318,4,0,1
classic,amazon_review_full,random_lstm,dfs,2000,5,0.05308547789452313,0.05621797419420203,4,0,1
classic,amazon_review_full,random_lstm,ig,500,5,0.051050302015126135,0.044612110819589636,5,0,0
classic,amazon_review_full,random_lstm,ig,1000,5,0.052166285975331204,0.019307922242976883,5,0,0
classic,amazon_review_full,random_lstm,ig,1500,5,0.050100908583320655,0.025426420697070278,5,0,0
classic,amazon_review_full,random_lstm,ig,2000,5,0.0541613116085478,0.009615008606919303,5,0,0
classic,amazon_review_full,random_wa,df,500,5,0.020969544693162777,0.037926681159782136,3,1,1
classic,amazon_review_full,random_wa,df,1000,5,0.03211090807573219,0.009816327976682951,5,0,0
classic,amazon_review_full,random_wa,df,1500,5,0.014994771838992949,0.02632132310065729,3,0,2
classic,amazon_review_full,random_wa,df,2000,5,0.031166133698797026,0.05349700136234501,3,1,1
classic,amazon_review_full,random_wa,dfs,500,5,0.009934470331455258,0.04642453636245312,2,0,3
classic,amazon_review_full,random_wa,dfs,1000,5,0.03606050454291661,0.035743362607803975,5,0,0
classic,amazon_review_full,random_wa,dfs,1500,5,0.024065631186234206,0.04022670913449711,4,0,1
classic,amazon_review_full,random_wa,dfs,2000,5,0.019984721587736665,0.060347894174136316,3,0,2
classic,amazon_review_full,random_wa,ig,500,5,0.0411010101010101,0.028850021533358652,4,1,0
classic,amazon_review_full,random_wa,ig,1000,5,0.03414623623166337,0.04469713574839337,4,0,1
classic,amazon_review_full,random_wa,ig,1500,5,0.035206842292269426,0.04880507170568437,4,0,1
classic,amazon_review_full,random_wa,ig,2000,5,0.03203512512055225,0.037714931683897786,4,0,1
classic,farm_ads,fasttext_cnn,df,500,5,-0.018168977914740658,0.012326802685690317,0,1,4
classic,farm_ads,fasttext_cnn,df,1000,5,-0.02498073959938365,0.01952754354214133,0,0,5
classic,farm_ads,fasttext_cnn,df,1500,5,-0.007960965588084234,0.016362478970713485,2,0,3
classic,farm_ads,fasttext_cnn,df,2000,5,-0.00567539804827939,0.023079659023391787,2,0,3
classic,farm_ads,fasttext_cnn,dfs,500,5,-0.03068181818181819,0.03824163334196331,0,1,4
classic,farm_ads,fasttext_cnn,dfs,1000,5,-0.009110169491525433,0.0206907716663957,2,0,3
classic,farm_ads,fasttext_cnn,dfs,1500,5,-0.021603749357986635,0.02284575449924417,1,0,4
classic,farm_ads,fasttext_cnn,dfs,2000,5,-0.014772727272727293,0.009507500301523603,0,1,4
classic,farm_ads,fasttext_cnn,ig,500,5,-0.017058294812532092,0.02923336974475209,2,0,3
classic,farm_ads,fasttext_cnn,ig,1000,5,-0.028396250642013343,0.015577898726036382,0,0,5
classic,farm_ads,fasttext_cnn,ig,1500,5,-0.022727272727272752,0.021635719050749735,0,1,4
classic,farm_ads,fasttext_cnn,ig,2000,5,-0.023870056497175107,0.01900253245268493,1,0,4
classic,farm_ads,fasttext_lstm,df,500,5,-0.031818181818181815,0.029138366829450223,0,1,4
classic,farm_ads,fasttext_lstm,df,1000,5,-0.013623523369286072,0.03907764599856131,2,0,3
classic,farm_ads,fasttext_lstm,df,1500,5,0.00116204417051875,0.04621265681476764,2,0,3
classic,farm_ads,fasttext_lstm,df,2000,5,-0.0011492039034411762,0.02250430123955381,3,1,1
classic,farm_ads,fasttext_lstm,dfs,500,5,0.0011427837699024002,0.02736526473734408,2,0,3
classic,farm_ads,fasttext_lstm,dfs,1000,5,0.031766820749871624,0.03349197900257994,4,0,1
classic,farm_ads,fasttext_lstm,dfs,1500,5,0.013610683102208521,0.028568881892401945,4,0,1
classic,farm_ads,fasttext_lstm,dfs,2000,5,0.02268875192604005,0.02374587523577989,4,0,1
classic,farm_ads,fasttext_lstm,ig,500,5,0.006773240883410381,0.03878048968098195,3,1,1
classic,farm_ads,fasttext_lstm,ig,1000,5,0.005675398048279412,0.03874483702602477,3,1,1
classic,farm_ads,fasttext_lstm,ig,1500,5,0.018136877247046712,0.04022677980497006,4,0,1
classic,farm_ads,fasttext_lstm,ig,2000,5,0.013649203903441199,0.026816235711833093,3,0,2
classic,farm_ads,fasttext_wa,df,500,5,-0.004551874678993317,0.015240540393236817,3,0,2
classic,farm_ads,fasttext_wa,df,1000,5,0.01816255778120184,0.014149612381265076,4,1,0
classic,farm_ads,fasttext_wa,df,1500,5,0.006831022085259364,0.0225002485346991,2,0,3
classic,farm_ads,fasttext_wa,df,2000,5,0.012493579866461223,0.01858866211412883,4,0,1
classic,farm_ads,fasttext_wa,dfs,500,5,-0.007941705187467929,0.030490055040678192,2,0,3
classic,farm_ads,fasttext_wa,dfs,1000,5,0.010214432460195178,0.024569442975961128,4,0,1
classic,farm_ads,fasttext_wa,dfs,1500,5,0.007928864920390332,0.030210352626558783,3,1,1
classic,farm_ads,fasttext_wa,dfs,2000,5,-0.004558294812532093,0.034647076124657686,3,0,2
classic,farm_ads,fasttext_wa,ig,500,5,-0.00453903441191581,0.028237802605735107,1,1,3
classic,farm_ads,fasttext_wa,ig,1000,5,0.0011363636363636465,0.028238121908611784,2,2,1
classic,farm_ads,fasttext_wa,ig,1500,5,0.0022534668721109208,0.02494701484607755,3,1,1
classic,farm_ads,fasttext_wa,ig,2000,5,0.0011106831022085206,0.04023961526140046,4,0,1
classic,farm_ads,random_cnn,df,500,5,-0.019311761684643013,0.032294919768818695,1,0,4
classic,farm_ads,random_cnn,df,1000,5,0.011325115562403698,0.03134409038136582,4,0,1
classic,farm_ads,random_cnn,df,1500,5,0.010195172059578872,0.03754085320160814,4,0,1
classic,farm_ads,random_cnn,df,2000,5,-0.0033769902413970155,0.03226052741553529,3,0,2
classic,farm_ads,random_cnn,dfs,500,5,-0.006811761684643014,0.030703155120646922,2,0,3
classic,farm_ads,random_cnn,dfs,1000,5,0.020409604519774027,0.024591891817607504,4,0,1
classic,farm_ads,random_cnn,dfs,1500,5,0.012448638931689793,0.04119586006999324,3,1,1
classic,farm_ads,random_cnn,dfs,2000,5,0.004506933744221908,0.037522416778575506,3,0,2
classic,farm_ads,random_cnn,ig,500,5,0.0022727272727272483,0.03738791790082295,2,1,2
classic,farm_ads,random_cnn,ig,1000,5,-0.004571135079609645,0.03093637293091118,2,0,3
classic,farm_ads,random_cnn,ig,1500,5,0.0022342064714946154,0.025539955736008944,2,1,2
classic,farm_ads,random_cnn,ig,2000,5,0.005656137647663084,0.02234494021471702,3,0,2
classic,farm_ads,random_lstm,df,500,5,-0.0352336928608115,0.05259279094491327,2,0,3
classic,farm_ads,random_lstm,df,1000,5,-0.04196199280945041,0.03038334895456701,1,0,4
classic,farm_ads,random_lstm,df,1500,5,-0.01700051361068309,0.028927774549166417,2,0,3
classic,farm_ads,random_lstm,df,2000,5,-0.011337955829481227,0.0411598624148557,1,0,4
classic,farm_ads,random_lstm,dfs,500,5,0.02843477144324602,0.05250639695216041,3,0,2
classic,farm_ads,random_lstm,dfs,1000,5,0.009116589625064186,0.04335969096308357,2,0,3
classic,farm_ads,random_lstm,dfs,1500,5,0.021533127889060078,0.035740539452400896,3,0,2
classic,farm_ads,random_lstm,dfs,2000,5,0.0022663071391884728,0.038029284515737415,2,1,2
classic,farm_ads,random_lstm,ig,500,5,0.01480482794042115,0.04426454175330434,2,0,3
classic,farm_ads,random_lstm,ig,1000,5,0.03405880842321522,0.03060506176016745,5,0,0
classic,farm_ads,random_lstm,ig,1500,5,0.02951335387776064,0.06306638624985371,3,0,2
classic,farm_ads,random_lstm,ig,2000,5,-0.003402670775552141,0.05661864862999826,2,0,3
classic,farm_ads,random_wa,df,500,5,-0.01135079609655878,0.018411217553445738,1,0,4
classic,farm_ads,random_wa,df,1000,5,0.005713918849512112,0.022308220381695013,3,1,1
classic,farm_ads,random_wa,df,1500,5,0.006818181818181834,0.015766405597172257,2,2,1
classic,farm_ads,random_wa,df,2000,5,-0.0022470467385721227,0.026197694947220955,2,0,3
classic,farm_ads,random_wa,dfs,500,5,-0.01929892141756546,0.022227057250871908,1,0,4
classic,farm_ads,random_wa,dfs,1000,5,-0.01591551104262967,0.02962689383559008,2,1,2
classic,farm_ads,random_wa,dfs,1500,5,0.00451977401129946,0.013522182893090443,3,0,2
classic,farm_ads,random_wa,dfs,2000,5,0.0056497175141243085,0.014422937520625711,3,1,1
classic,farm_ads,random_wa,ig,500,5,-0.009078068823831508,0.01685285665370302,1,0,4
classic,farm_ads,random_wa,ig,1000,5,-0.006811761684643014,0.021411162196245028,1,0,4
classic,farm_ads,random_wa,ig,1500,5,-0.007941705187467863,0.019924181334201135,2,0,3
classic,farm_ads,random_wa,ig,2000,5,-1.9260400616283313e-05,0.017021416502989224,2,1,2
classic,wos5736,fasttext_cnn,df,500,5,0.009958827650894286,0.030492512335202296,3,1,1
classic,wos5736,fasttext_cnn,df,1000,5,0.013969537055685243,0.024996325029437595,3,0,2
classic,wos5736,fasttext_cnn,df,1500,5,0.031065370542893,0.031883342754580546,4,0,1
classic,wos5736,fasttext_cnn,df,2000,5,0.006974971328597879,0.02085463197875554,3,0,2
classic,wos5736,fasttext_cnn,dfs,500,5,0.036121106073337114,0.022005549373519326,5,0,0
classic,wos5736,fasttext_cnn,dfs,1000,5,0.04419191698066562,0.016412099983455372,5,0,0
classic,wos5736,fasttext_cnn,dfs,1500,5,0.038151969027652055,0.012981853011632264,5,0,0
classic,wos5736,fasttext_cnn,dfs,2000,5,0.028080702017550398,0.026727231512050573,4,1,0
classic,wos5736,fasttext_cnn,ig,500,5,0.024070195663521022,0.025022956689169113,4,0,1
classic,wos5736,fasttext_cnn,ig,1000,5,0.04019222307968866,0.01278798093785545,5,0,0
classic,wos5736,fasttext_cnn,ig,1500,5,0.02710567764194105,0.024275049454800357,4,1,0
classic,wos5736,fasttext_cnn,ig,2000,5,0.02605105736780473,0.023263114139734455,4,0,1
classic,wos5736,fasttext_lstm,df,500,5,0.13874793570346872,0.05609053565259506,5,0,0
classic,wos5736,fasttext_lstm,df,1000,5,0.08829220730518264,0.05470201482716256,4,1,0
