family,dataset_id,model,selector,feature_count,folds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,best_epoch_mean,best_epoch_std
bert,amazon_review_full,bert_cls,dfs,500,5,0.37009933505913406,0.03441125594904585,0.3666677187684285,0.030027859423634937,0.37012820512820516,0.03403840117817815,8.0,3.605551275463989
bert,amazon_review_full,bert_cls,ig,1000,5,0.399069032028831,0.05213388488390707,0.394044380904102,0.0546199693449634,0.39897435897435896,0.05215719614584538,7.2,3.2710854467592254
bert,amazon_review_full,bert_cls,ig,1500,5,0.4313059743160246,0.03870368303858798,0.43191037492045653,0.03756802927752905,0.43120512820512824,0.038601412325594664,8.0,3.8078865529319543
bert,amazon_review_full,bert_cls,ig,2000,5,0.4333413532308005,0.03360203523387488,0.4165768667655438,0.018503315239793233,0.43274358974358973,0.03297746426340144,4.4,1.51657508881031
bert,amazon_review_full,bert_cls,ig,500,5,0.39711943556164664,0.043002684621955105,0.3929975535667624,0.039838742644128684,0.3972564102564103,0.0427775579116083,5.4,1.816590212458495
bert,amazon_review_full,bert_cls,none,all,5,0.4964220090350744,0.03649514502164859,0.49218773072952926,0.03528291007675781,0.4961282051282051,0.03657661076376322,5.2,2.588435821108957
bert,farm_ads,bert_cls,df,1000,5,0.8376797637390858,0.022976237622953186,0.8357067894458323,0.02401283110431439,0.8362399509595132,0.02332995158976174,4.8,3.03315017762062
bert,farm_ads,bert_cls,df,1500,5,0.8569594247560349,0.020009327503975955,0.856697589427569,0.019968361810261688,0.8570525264369314,0.020030150968777256,7.6,5.504543577809154
bert,farm_ads,bert_cls,df,2000,5,0.8206664098613251,0.043708083355118534,0.8184288344094436,0.04761044476303237,0.8219520986689249,0.041572008349783744,7.6,4.159326868617084
bert,farm_ads,bert_cls,df,500,5,0.842231638418079,0.023841347642303088,0.8405519942543084,0.02412436380819758,0.8407276565963296,0.024060496369224003,5.6,2.1908902300206643
bert,farm_ads,bert_cls,dfs,1000,5,0.8331086286594761,0.033934194148607,0.8323335661226368,0.03369200094556178,0.8323574343273386,0.03305203909225184,5.2,3.96232255123179
bert,farm_ads,bert_cls,dfs,1500,5,0.8444401643554186,0.029388323442163498,0.8440885778049774,0.029456821290933244,0.8444970761113032,0.028616667704100526,5.4,3.9115214431215892
bert,farm_ads,bert_cls,dfs,2000,5,0.8365626605033385,0.009863282100761228,0.8358767057781006,0.009928737987763862,0.8362427236845841,0.00892555823748751,8.2,5.403702434442518
bert,farm_ads,bert_cls,dfs,500,5,0.8308680020544427,0.0206984398357405,0.8301566357300457,0.020762616379968537,0.8300958427497415,0.02064602816463563,4.0,1.8708286933869707
bert,farm_ads,bert_cls,ig,1000,5,0.8206535695942475,0.02298060322270714,0.8196908084018514,0.02280316926883981,0.819862933843782,0.021746708741833504,2.8,0.8366600265340756
bert,farm_ads,bert_cls,ig,1500,5,0.8228813559322034,0.041439043986628364,0.8216959207846903,0.04121405036298603,0.8229654795728667,0.039699300281942004,3.6,0.8944271909999159
bert,farm_ads,bert_cls,ig,2000,5,0.8263032871083719,0.02098596955250466,0.8256506843338208,0.020948563195332538,0.8262537644753787,0.020512604780551693,7.8,2.16794833886788
bert,farm_ads,bert_cls,ig,500,5,0.8297380585516179,0.017517834657934394,0.8291916696991818,0.017425585633918585,0.829396698452786,0.01722793700259415,5.6,3.4351128074635335
bert,farm_ads,bert_cls,none,all,5,0.8569594247560349,0.015971832294097967,0.8565787321156274,0.015968738268590195,0.8563818610330238,0.016004040021978142,8.4,2.9664793948382653
bert,wos5736,bert_cls,df,1000,5,0.8513208007865172,0.015280487092037793,0.8403378530259457,0.013300168085986979,0.8404868649137424,0.015335908725619555,10.8,2.4899799195977463
bert,wos5736,bert_cls,df,1500,5,0.8623258728676338,0.008761155602395888,0.8477330764185338,0.009187929985701119,0.8500706019935269,0.01084557089074613,13.0,2.5495097567963922
bert,wos5736,bert_cls,df,2000,5,0.8703264789741572,0.012281231638064063,0.8611662188501595,0.016327052812796564,0.8608028861783803,0.01801834204376393,12.8,1.9235384061671346
bert,wos5736,bert_cls,df,500,5,0.8553111035897725,0.007438184119219316,0.8443800838897291,0.01222444160524916,0.843230544159398,0.009977259563451607,9.8,2.588435821108957
bert,wos5736,bert_cls,dfs,1000,5,0.8954729198179193,0.022877911426758192,0.8877268537843619,0.027745461239546895,0.8892677283191117,0.02938782747521526,10.0,2.23606797749979
